Clock resolution: 0.000000001
test	loop	time	iterations	periteration
getppid	0	1.062540157	2587992	0.000000410
getppid	1	1.062540317	2587920	0.000000410
getppid	2	1.062539669	2587932	0.000000410
getppid	3	1.062545251	2587987	0.000000410
getppid	4	1.062541095	2587949	0.000000410
getppid	5	1.062540245	2587197	0.000000410
getppid	6	1.062539531	2587957	0.000000410
getppid	7	1.062540215	2587938	0.000000410
getppid	8	1.062540501	2587888	0.000000410
getppid	9	1.062540191	2587908	0.000000410
