Clock resolution: 0.000000001
test	loop	time	iterations	periteration
getppid	0	1.000769193	1550407	0.000000645
getppid	1	1.049963522	1624197	0.000000646
getppid	2	1.048371395	1624287	0.000000645
getppid	3	1.018840069	1573353	0.000000647
getppid	4	1.062568466	1642438	0.000000646
getppid	5	1.062141434	1645852	0.000000645
getppid	6	1.061994569	1642542	0.000000646
getppid	7	1.061995794	1645784	0.000000645
getppid	8	1.046997958	1619244	0.000000646
getppid	9	1.058983655	1638545	0.000000646
