Clock resolution: 0.000000001
test	loop	time	iterations	periteration
getppid	0	1.032902804	1468784	0.000000703
getppid	1	1.000407826	1426827	0.000000701
getppid	2	1.031038927	1467700	0.000000702
getppid	3	1.019994758	1451611	0.000000702
getppid	4	1.061941464	1511187	0.000000702
getppid	5	1.032045976	1469335	0.000000702
getppid	6	1.032004347	1468081	0.000000702
getppid	7	1.061986734	1512022	0.000000702
getppid	8	1.026993123	1461204	0.000000702
getppid	9	1.000994376	1424320	0.000000702
